state_fips,place_fips5,name,homeown,share65,frac,medinc,pop
01,34096,"Henagar city, Alabama",0.7395,0.1653,0.1970,39506,2184
01,37465,"Indian Springs Village city, Alabama",0.9543,0.2060,0.2208,119091,2549
01,28432,"Fruithurst town, Alabama",0.7188,0.1255,0.0478,42917,247
01,03724,"Bakerhill town, Alabama",0.8776,0.2018,0.4795,47500,228
01,13264,"Center Point city, Alabama",0.5852,0.1354,0.4293,43515,16353
01,39520,"Kennedy town, Alabama",0.7752,0.2701,0.4759,41786,448
01,37264,"Hytop town, Alabama",0.9075,0.1722,0.0813,52679,424
01,60720,"Pisgah town, Alabama",0.6837,0.2125,0.1141,29375,734
01,16264,"Coffeeville town, Alabama",0.6818,0.1182,0.5999,30833,516
01,07456,"Blountsville town, Alabama",0.5840,0.1251,0.4716,36923,2262
01,43888,"Locust Fork town, Alabama",0.8565,0.2152,0.0161,57344,1478
01,71201,"Smoke Rise CDP, Alabama",0.9547,0.1809,0.0000,94489,2101
01,75960,"Thomasville city, Alabama",0.4925,0.1978,0.5135,40276,3928
01,48052,"Memphis town, Alabama",0.9167,0.8750,0.0000,,24
01,16684,"Colony town, Alabama",0.8245,0.1953,0.2187,38056,471
01,32968,"Hanceville city, Alabama",0.5804,0.2410,0.2334,32668,3377
01,80496,"Wedowee town, Alabama",0.7649,0.2890,0.5314,31042,820
01,44608,"Loxley town, Alabama",0.7523,0.0972,0.2647,61875,2501
01,74400,"Sylvania town, Alabama",0.7214,0.1057,0.2272,51385,2546
01,67536,"St. Florian town, Alabama",0.9289,0.2638,0.1282,57083,470
01,71496,"Somerville town, Alabama",0.6151,0.1828,0.2145,36750,547
01,55752,"Oak Grove town, Alabama",0.7605,0.2491,0.2454,55000,562
01,79008,"Vincent town, Alabama",0.7645,0.2013,0.4077,33333,1918
01,11680,"Camp Hill town, Alabama",0.6016,0.1263,0.1767,21667,1196
01,29608,"Geraldine town, Alabama",0.6517,0.2106,0.1727,42279,1116
01,62075,"Powell town, Alabama",0.5460,0.1475,0.1906,44063,1261
01,33448,"Hartselle city, Alabama",0.7244,0.1740,0.2193,59697,14428
01,48616,"Mignon CDP, Alabama",0.7716,0.1541,0.5065,30586,850
01,76824,"Triana town, Alabama",0.7005,0.1336,0.5365,51579,868
01,47740,"Meadowbrook CDP, Alabama",0.8503,0.1425,0.1529,109650,9468
01,19912,"Dayton town, Alabama",0.5556,0.1290,0.4870,,31
01,20296,"Demopolis city, Alabama",0.5483,0.1791,0.5294,27279,6807
