unit9,year,ltd_iss_k,ltd_out_k
141089089,2023,155.0,-9094.0
141090090,2023,1260.0,3064.0
141092092,2023,107.0,381.0
141099099,2023,64438.0,550441.0
141100100,2023,10648.0,26608.0
141101101,2023,,102620.0
142016004,2023,31923.0,99992.0
142016041,2023,5742.0,96905.0
142016027,2023,70684.0,465449.0
142016038,2023,5417.0,38464.0
142016069,2023,45115.0,101106.0
142016002,2023,67155.0,195199.0
142016007,2023,1005.0,8374.0
142016012,2023,24760.0,58193.0
142016016,2023,,19596390.0
142016019,2023,,345288.0
142016020,2023,7809.0,69516.0
142016021,2023,68604.0,234592.0
142016037,2023,,36160.0
142016061,2023,60182.0,243330.0
142016066,2023,7298.0,29717.0
142016088,2023,10165.0,234174.0
142016093,2023,7370.0,58937.0
142016100,2023,80135.0,189367.0
142016101,2023,38075.0,59618.0
142016514,2023,68258.0,227504.0
142016017,2023,20539.0,235687.0
142016087,2023,3666.0,59874.0
142016064,2023,,105285.0
142016513,2023,5192.0,36393.0
142016086,2023,41140.0,498611.0
142016063,2023,4191.0,22381.0
142016034,2023,,10514.0
142016090,2023,,11822.0
142016047,2023,636.0,13414.0
142016046,2023,11203.0,26775.0
142020001,2023,81.0,472.0
142022006,2023,,79240.0
142022009,2023,5603.0,82189.0
142022012,2023,6830.0,97100.0
142022505,2023,15016.0,31584.0
142022702,2023,,17110.0
142022011,2023,,2040.0
142045300,2023,,1067.0
142047007,2023,3863.0,40737.0
142047006,2023,157.0,3100.0
142049513,2023,521.0,2047.0
142049018,2023,207.0,6730.0
142049019,2023,3665.0,34532.0
142049014,2023,22446.0,85177.0
142049514,2023,,27576.0
142056008,2023,5077.0,9016.0
142056003,2023,37733.0,124220.0
142060012,2023,1901.0,32055.0
142069004,2023,,26314.0
142071009,2023,16940.0,53519.0
142073002,2023,3895.0,10865.0
142079014,2023,,163.0
142082002,2023,,49260.0
142090005,2023,9895.0,54552.0
142096008,2023,,5384.0
142099016,2023,19742.0,173248.0
142099002,2023,2083.0,5239.0
142099004,2023,19630.0,33785.0
142099701,2023,3677.0,226905.0
143016026,2023,9.0,91.0
143090019,2023,199.0,174.0
144010085,2023,3042.0,17481.0
144016059,2023,5970.0,36693.0
144016081,2023,1533.0,5277.0
144016126,2023,2225.0,2225.0
144016140,2023,7.0,10521.0
144016517,2023,775.0,21864.0
144016619,2023,,4170.0
144016822,2023,3168.0,3537.0
144016186,2023,,14240.0
144016221,2023,4259.0,25847.0
144016050,2023,4824.0,4761.0
144016901,2023,1734.0,757.0
144016912,2023,57.0,2448.0
144019301,2023,,1820.0
144022907,2023,747.0,24107.0
144022002,2023,6382.0,53007.0
144022815,2023,,7458.0
144022908,2023,1676.0,8060.0
144022511,2023,2381.0,14255.0
144022705,2023,,56291.0
144022165,2023,165.0,28082.0
144028006,2023,,499.0
144045503,2023,1759.0,3999.0
144045309,2023,5518.0,19123.0
144045507,2023,,16377.0
144049904,2023,1831.0,5467.0
144049808,2023,963.0,13213.0
144056202,2023,1846.0,1382.0
144058305,2023,,6035.0
144058028,2023,,126.0
144072010,2023,,3590.0
144099402,2023,727.0,14399.0
144099517,2023,860.0,6323.0
144099806,2023,,20304.0
144099807,2023,,20990.0
144101014,2023,14056.0,53392.0
145001013,2023,,1442.0
145001010,2023,178.0,5759.0
145001007,2023,,46.0
145001014,2023,12543.0,90546.0
145002002,2023,,3897.0
145003001,2023,,2886.0
145003002,2023,3634.0,22757.0
145004001,2023,,57776.0
145004801,2023,,9969.0
145005001,2023,,7024.0
145006017,2023,,46814.0
145006024,2023,52.0,621.0
145006044,2023,44.0,6948.0
145006013,2023,,122.0
145006022,2023,1000.0,1040.0
145006035,2023,,966.0
145006036,2023,,937.0
145006301,2023,,10596.0
145007003,2023,,2092.0
145008401,2023,3526.0,7814.0
145008101,2023,915.0,5462.0
145009002,2023,155.0,9974.0
145009201,2023,,2650.0
145009004,2023,,4688.0
145010021,2023,,30772.0
145010004,2023,,10648.0
145010007,2023,,390.0
145010018,2023,,12455.0
145010009,2023,160.0,169.0
145010014,2023,,15150.0
145010016,2023,,1456.0
145010017,2023,,6516.0
145010002,2023,3891.0,9996.0
145010015,2023,,1942.0
145010003,2023,26.0,22968.0
145010008,2023,,3842.0
145010020,2023,,1474.0
145010005,2023,,228427.0
145011007,2023,15915.0,17386.0
