AgencyCode,AgencyName,Cesa,ReferendumId,VoteDate,ReferendumTypeCode,ReferendumType,Amount,AnnualAmount,BriefDescription,FullDescription,YesVotes,NoVotes,ReferendumStatusCode,ReferendumStatus
1554,Eau Claire Area School District (1554),10,765,2022-11-08,ID,Issue Debt,98600000.0,,"To issue $ 98,600,000 to complete capital improvement projects at 11 of our schools.","BE IT RESOLVED by the School Board of the Eau Claire Area School District, Eau Claire, Chippewa and Dunn Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $98,600,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of:  construction of additions and renovations at Memorial and North High, South Middle and Putnam Heights Elementary Schools; capital maintenance, building infrastructure, and site and extra-curricular facility improvements at Locust Lane, Manz, Meadowview, Northwoods, Putnam Heights, Sam Davey and Sherman Elementary, Northstar and South Middle, and Memorial and North High Schools; and acquisition of furnishings, fixtures and equipment.",24974,14028,PV,Passed
1883,Fort Atkinson School District (1883),02,955,2022-11-08,NR,Non-Recurring Referendum,4000000.0,"2023-2024  4000000.00,2024-2025  4000000.00,2025-2026  5000000.00","$4M - 2023/24
$4M - 2024/25
$5M - 2025/26","BE IT RESOLVED by the School Board of the School District of Fort Atkinson, Jefferson and Rock Counties, Wisconsin, that the final school district budget beginning with the 2022-23 school year shall include an amount not to exceed $3,000,000 each year (on a recurring basis) and the following not to exceed amounts (on a non-recurring basis for a period of three years): $4,000,000 in the 2023-24 school year, $4,000,000 in the 2024-25 school year and $5,000,000 in the 2025-26 school year all in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes for the purpose of paying District operating costs in support of cultivating an inclusive high-performing culture of growth and community.",3644,4162,FV,Failed
1883,Fort Atkinson School District (1883),02,956,2022-11-08,RR,Recurring Referendum,3000000.0,2022-2023  3000000.00,$3M Recurring beginning in 2022-23,"BE IT RESOLVED by the School Board of the School District of Fort Atkinson, Jefferson and Rock Counties, Wisconsin, that the final school district budget beginning with the 2022-23 school year shall include an amount not to exceed $3,000,000 each year (on a recurring basis) and the following not to exceed amounts (on a non-recurring basis for a period of three years): $4,000,000 in the 2023-24 school year, $4,000,000 in the 2024-25 school year and $5,000,000 in the 2025-26 school year all in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes for the purpose of paying District operating costs in support of cultivating an inclusive high-performing culture of growth and community.",3644,4162,FV,Failed
1883,Fort Atkinson School District (1883),02,957,2022-11-08,ID,Issue Debt,22000000.0,,"$22M GO Bonds for secure entries, maintenance projects, and traffic flow improvements.","BE IT RESOLVED by the School Board of the School District of Fort Atkinson, Jefferson and Rock Counties, Wisconsin, that there shall be issued, pursuant to Chapter 67, Wisconsin Statutes, General Obligation Bonds in an amount not to exceed $22,000,000 for the purpose of paying the costs of secure entry sequence improvements, maintenance and mechanical projects at all buildings and traffic flow improvements at the high school.",4154,3696,PV,Passed
1890,Fox Point J2 School District (1890),01,967,2022-11-08,NR,Non-Recurring Referendum,12400000.0,"2023-2024  3100000.00,2024-2025  3100000.00,2025-2026  3100000.00,2026-2027  3100000.00","Non-Recurring Operational Referendum to Exceed Revenue Limit by $3.1 Million per year for Four Years, 2023-24 school year through 2026-27 school year.","BE IT RESOLVED by the School Board of the Joint School District Number 2, Villages
of Fox Point and Bayside, Milwaukee and Ozaukee Counties, Wisconsin that the revenues
included in the School District budget be authorized to exceed the revenue limit specified in
Section 121.91, Wisconsin Statutes, by $3.1 million per year for non-recurring purposes for the
2023-2024 school year through the 2026-2027 school year, in order to maintain and support
instructional programs, services, and class sizes.",2883,1572,PV,Passed
2016,North Crawford School District (2016),03,1023,2022-11-08,RR,Recurring Referendum,300000.0,"2022-2023  300000.00,2023-2024  250000.00,2024-2025  200000.00,2025-2026  150000.00",Exceed revenue limit for recurring purposes,"BE IT RESOLVED, Shall the North Crawford School District, Crawford, Richland and Vernon Counties, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $300,000 for the 2022-2023 school year; by an additional $250,000 (for a total of $550,000) for the 2023-2024 school year; by an additional $200,000 (for a total of $750,000) for the 2024-2025 school year; and by an additional $150,000 (for a total of $900,000) for the 2025-2026 school year and thereafter, for recurring purposes consisting of operational expenses?",873,529,PV,Passed
2016,North Crawford School District (2016),03,1024,2022-11-08,ID,Issue Debt,4500000.0,,"Issue debt for general obligation bonds in an amount not to exceed $4,500,000 for the public purpose of paying the cost of a school facility improvement project","BE IT RESOLVED, Shall the North Crawford School District, Crawford, Richland and Vernon Counties, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $4,500,000 for the public purpose of paying the cost of a school facility improvement project at the school building and site consisting of:  capital maintenance, building infrastructure and site improvements, including roof and window replacement; renovations and facility updates, including Americans with Disabilities Act improvements and upgrades to instructional space; and acquisition of furnishings, fixtures and equipment?",956,441,PV,Passed
2044,Geneva J4 School District (2044),02,1030,2022-11-08,NR,Non-Recurring Referendum,750000.0,"2023-2024  750000.00,2024-2025  1000000.00,2025-2026  1250000.00,2026-2027  1500000.00",Exceed Revenue cap - 2023-2024 to 2025-2026,"BE IT RESOLVEDby the School Board of Geneva Joint 4 School District, Walworth County, Wisconsin, that the revenues included in the Geneva Joint 4 School District budget be 
authorized to exceed the revenue limit specified in Section 121.91(2m), Wisconsin Statutes, by 
 $750,000 in the 2023-2024 school year, by $1,000,000 in the 2024-2025 school year, by $1,250,000 in the 2025-2026 school year, and by $1,500,000 in the 2026-2027 school year    for non-recurring purposes of paying the ongoing operational expenses of the school district. 

 Adopted and recorded August 24, 2022.",288,275,PV,Passed
2289,Green Bay Area Public School District (2289),07,1156,2022-11-08,ID,Issue Debt,92605000.0,,"Question:  Shall the Green Bay Area Public School District, Brown County, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $92,605,000 for the public purpose of paying the cost of a school facility improvement project consisting of:  district-wide safety, security, building infrastructure and capital maintenance improvements; renovations and facility updates to secondary schools; construction of an addition at certain district buildings; district-wide athletic facility and site improvements; and acquisition of furnishings, fixtures and equipment?","BE IT RESOLVED by the School Board of the Green Bay Area Public School District, Brown County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $92,605,000 for the public purpose of paying the cost of a school facility improvement project consisting of:  district-wide safety, security, building infrastructure and capital maintenance improvements; renovations and facility updates to secondary schools; construction of an addition at certain district buildings; district-wide athletic facility and site improvements; and acquisition of furnishings, fixtures and equipment.",33371,15315,PV,Passed
2303,Greenfield School District (2303),01,1173,2022-11-08,NR,Non-Recurring Referendum,20000000.0,"2023-2024  5000000.00,2024-2025  5000000.00,2025-2026  5000000.00,2026-2027  5000000.00","Resolution authorizing the School District budget exceed the revenue limit by $5,000,000 per year beginning in the 2023-24 school year and every school year thereafter, through the 2026-27 school year, for non-recurring purposes.","BE IT RESOLVED by the School Board of the School District of Greenfield, Milwaukee County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes by $5,000,000 beginning in the 2023-24 school year and every school year thereafter, through the 2026-27 school year, on a non-recurring basis for the purpose of operational expenditures related to sustaining class size, supporting and expanding instructional programming, attracting and retaining high-quality staff, enhancing student mental health supports, staying current with educational technology, maintaining student transportation services, and other educational expenditures.",7093,4366,PV,Passed
