measure_class,dor_code,municipality,fiscal_year,vote_date,description,department,amount,result,votes_yes,votes_no
debt_exclusion,056,Chelmsford,1990,1984-11-01,Sewers,Public Works and Facilities,,Pass,10902,3361
debt_exclusion,203,New Marlborough,1991,1984-11-01,Fire,Public Safety,,Pass,426,113
debt_exclusion,261,Sandwich,1990,1984-11-01,Pre-Debt,Pre-Proposition 2 1/2 Debt,,Pass,3053,2336
debt_exclusion,278,Southbridge,1990,1984-11-01,Schools,School,,Pass,3347,1842
debt_exclusion,075,Dennis,1990,1985-01-01,Land Omnibus,General Government,,Pass,1964,373
debt_exclusion,117,Hadley,1993,1985-03-01,Pre-Debt,Pre-Proposition 2 1/2 Debt,,Pass,1053,952
debt_exclusion,327,West Tisbury,1990,1985-03-01,Schools,School,,Pass,130,28
debt_exclusion,011,Ashburnham,1990,1985-04-01,Highway/Loader Back Hoe,Public Works and Facilities,,Pass,224,179
debt_exclusion,011,Ashburnham,1990,1985-04-01,Highway/Front End Loader,Public Works and Facilities,,Pass,225,183
debt_exclusion,011,Ashburnham,1990,1985-04-01,Fire Truck,Public Safety,,Pass,248,159
debt_exclusion,011,Ashburnham,1990,1985-04-01,Town Hall,General Government,,Pass,254,154
debt_exclusion,051,Carlisle,1990,1985-04-01,Library,Culture and Recreation,,Pass,278,41
debt_exclusion,051,Carlisle,2000,1985-04-01,Police,Public Safety,,Pass,266,54
debt_exclusion,062,Chilmark,1990,1985-04-01,Town Hall Addition,General Government,,Pass,181,109
debt_exclusion,062,Chilmark,1990,1985-04-01,Fire,Public Safety,,Pass,230,60
debt_exclusion,089,Edgartown,1990,1985-04-01,Rehab. Mem. Wharf,Public Safety,,Pass,414,93
debt_exclusion,089,Edgartown,1990,1985-04-01,Land/Katama Airport,General Government,,Pass,340,116
debt_exclusion,089,Edgartown,1991,1985-04-01,Construct Addition Edgart.School,School,,Pass,419,98
debt_exclusion,115,Groton,1995,1985-04-01,Water,Public Works and Facilities,,Pass,628,336
debt_exclusion,197,Nantucket,1990,1985-04-01,Highway,Public Works and Facilities,,Pass,1169,643
debt_exclusion,197,Nantucket,1990,1985-04-01,Sewers,Public Works and Facilities,,Pass,1106,686
debt_exclusion,315,Wayland,1990,1985-04-01,Library,Culture and Recreation,,Pass,1274,1126
debt_exclusion,014,Ashland,1991,1985-05-01,Water System Improvements,Public Works and Facilities,,Pass,683,512
debt_exclusion,023,Bedford,2000,1985-05-01,Sewers,Public Works and Facilities,,Pass,1080,471
debt_exclusion,025,Bellingham,2001,1985-05-01,Sewers,Public Works and Facilities,,Pass,1080,471
debt_exclusion,038,Boxford,1990,1985-05-01,Town Hall,General Government,,Pass,291,221
debt_exclusion,038,Boxford,1990,1985-05-01,Schools,School,,Pass,417,93
debt_exclusion,038,Boxford,1993,1985-05-01,Landfill,Public Works and Facilities,,Pass,383,122
debt_exclusion,058,Cheshire,1990,1985-05-01,Fire,Public Safety,,Pass,325,244
