Election Date,Agency Name,County,Election Type,Measure Name,Type of Tax/Debt,Amount of Bond/Tax,% Yes,% No,Threshold Value,Election Result,Purpose
06/02/2026 00:00:00,Walnut Creek School District,Contra Costa,Primary,L,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: $98 parcel tax for nine years, with senior exemptions, annual inflation adjustments, independent audits/ oversight, and all funds approximately $1,500,000 annually.",64.72,35.28,Two-thirds,Fail,K-12 School Facility
06/02/2026 00:00:00,Lawndale Elementary School District,Los Angeles,Primary,LL,General Obligation Bond,"$42,000,000",63.42,36.58,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Kentfield School District,Marin,Primary,C,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Renewing the expiring school parcel tax at the current $1,842 rate, adding $148/parcel, providing $5,900,000 annually for 10 years.",77.33,22.67,Two-thirds,Pass,K-12 School Facility
06/02/2026 00:00:00,Mendocino-Lake Community College District,Mendocino; Lake,Primary,A,General Obligation Bond,"$98,000,000",52.38,47.62,55%,Fail,"College, University Facility"
06/02/2026 00:00:00,Lafayette Elementary School District,Contra Costa,Primary,H,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Replacing the expiring school parcel tax with $585 per parcel for 9 years, providing $5.1 million annually.",75.05,24.95,Two-thirds,Pass,K-12 School Facility
06/02/2026 00:00:00,Lakeport Unified School District,Lake,Primary,B,General Obligation Bond,"$24,500,000",50.36,49.64,55%,Fail,K-12 School Facility
06/02/2026 00:00:00,Ross Valley School District,Marin,Primary,H,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Renewing the expiring current $742 parcel tax, while adding $540 per parcel, providing $8,600,000 annually for 10 years, with senior exemptions, 3% annual adjustments, independent oversight, no funds for administrators, and all funds staying local.",73.68,26.32,Two-thirds,Pass,K-12 School Facility
06/02/2026 00:00:00,Los Osos Community Services District,San Luis Obispo,Primary,B-26,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Establishing a parcel tax of $185 parcel/year for 15 years, then dropping to $100 parcel/year (with CPI adjustments), to raise approximately $1,114,255 annually for 15 years for acquisition, and $602,200 annually.",53.78,46.22,Majority,Pass,Recreation and Sports Facilities
06/02/2026 00:00:00,Sausalito Marin City School District,Marin,Primary,I,General Obligation Bond,"$12,500,000",71.39,28.61,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Twin Hills Union School District,Sonoma,Primary,A,General Obligation Bond,"$14,000,000",60.97,39.03,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Larkspur-Corte Madera School District,Marin,Primary,D,General Obligation Bond,"$44,000,000",68.47,31.53,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Trinidad Union School District,Humboldt,Primary,B,General Obligation Bond,"$4,000,000",66.05,33.95,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Antelope Elementary School District,Tehama; Shasta,Primary,T,General Obligation Bond,"$5,900,000",52.71,47.29,55%,Fail,K-12 School Facility
